sample_TAG,species,season,zone,site,num_increment,delta13C,delta15N,C_percent,N_percent,source,labels,taxa,feeding_mode,mobility,lip_dw_percent,class,stade,length_TL_cm,lon,lat
SPISSUB_52_D1422,Spisula_subtruncata,autumn,Embouchure,EM52,D1422,-16.73638315997252,11.489029774177588,48.068063465564016,13.581771684287384,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
SPISSUB_CAPES1_D1377,Spisula_subtruncata,autumn,Embouchure,CAPES1,D1377,-17.463199105292457,10.354354299499057,45.74429406146492,12.396353782511047,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
SPISSUB_CAPES2_D1387,Spisula_subtruncata,autumn,Embouchure,CAPES2,D1387,-18.584143569865102,9.355126838074174,43.00659894375185,11.771295168436946,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
SPISSUB_CAPES2_D1388,Spisula_subtruncata,autumn,Embouchure,CAPES2,D1388,-18.260785168455456,9.402699614123827,41.8855596935544,12.530155538257468,CAPES,Spisula s.,Bivalves,Susp.,Mobile,NA,NA,NA,NA,NA,NA
CP13,Lagis_koreni,spring,Embouchure,NA,NA,-15.7975,8.609000000000002,NA,NA,CHOPIN,Lagis k.,Polychaetes,Dep.sub.,Sedentary,1.438,NA,NA,NA,NA,NA
CP19,Crangon_crangon,spring,Embouchure,NA,NA,-17.6755,11.347000000000003,NA,NA,CHOPIN,Crangon c.,Crustaceans,Omnivore,Mobile,2.25,NA,NA,NA,NA,NA
CP05,Crangon_crangon,spring,Fosse Nord,NA,NA,-17.7375,11.391000000000002,NA,NA,CHOPIN,Crangon c.,Crustaceans,Omnivore,Mobile,2.605,NA,NA,NA,NA,NA
CP23,Scrobicularia_plana,spring,Fosse Nord,NA,NA,-18.5265,11.060000000000002,NA,NA,CHOPIN,Scrobicularia p.,Bivalves,Susp.Dep.sur.,Low mobility,2.96,NA,NA,NA,NA,NA
CP52,Crangon_crangon,autumn,Chenal,NA,NA,-16.7985,13.765000000000002,NA,NA,CHOPIN,Crangon c.,Crustaceans,Omnivore,Mobile,3.79,NA,NA,NA,NA,NA
T1 EM1/AN2 crevettes,Crangon_crangon,autumn,Embouchure,NA,NA,-15.6795,13.923000000000002,NA,NA,CHOPIN,Crangon c.,Crustaceans,Omnivore,Mobile,3.205,NA,NA,NA,NA,NA
